rule_id	resource_meta	resource	resource_granular	granular_is_new	granular_parent_meta	granular_reasoning
tlg0086.tlg035.perseus-eng2::42	Exemption from taxes	Exemption from all taxes	Exemption from taxes	False	Exemption from taxes	Explicitly mentions 'exempting the father of four from all taxes'.
tlg0086.tlg035.perseus-eng2::43	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Identifies the Ephorate as the 'highest office of state' accessible to the 'entire people'.
tlg0086.tlg035.perseus-eng2::44	Right to vote in the Ekklesia	Right to vote in the Ekklesia	Right to citizenship	False	Right to citizenship	Discusses the 'ancestral regulation of the citizenship' tied to the ability to 'pay this tax'.
tlg0086.tlg035.perseus-eng2::45	Exemption from legal audit	Exemption from rendering an account of office	Exemption from legal audit	False	Exemption from legal audit	Explicitly says they are 'exempt from having to render an account of their office'.
tlg0086.tlg035.perseus-eng2::46	Political power	Right to participate in government	Deliberative authority	False	Political power	The ability to 'take part in the government' is the general political resource described.
tlg0086.tlg035.perseus-eng2::47	Right to remuneration for office	Access to common food funds	Access to common meals	False	Access to public honors	Relates to the 'public mess-tables' and 'maintenance' of citizens from 'common funds'.
tlg0086.tlg035.perseus-eng2::48	Right to vote in the Ekklesia	Right to vote in the Assembly	Voting in the assembly	False	Right to vote in the Ekklesia	Describes the assembly function as 'confirming by vote the resolutions'.
tlg0086.tlg035.perseus-eng2::49	Eligibility for public office	Eligibility for the magistracy (Cosmi)	Eligibility for public office	False	Eligibility for public office	Discusses eligibility for specific magistracies ('Cosmi' and 'Elders') restricted to 'certain clans'.
tlg0086.tlg035.perseus-eng2::50	Right to address the assembly	Right to speak in the assembly	Speaking in the assembly	False	Right to address the assembly	Explicitly names the 'right' where 'anybody who wishes may speak against the proposals'.
tlg0086.tlg035.perseus-eng2::51	Eligibility for public office	Eligibility for kingship and generalship	Eligibility for the kingship	False	Eligibility for public office	The verbatim explicitly specifies elections to the most important offices: 'those of the kings and of the generals'.
tlg0086.tlg035.perseus-eng2::52	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	The verbatim refers broadly to appointing 'all the offices' based on property classes (Five-hundred-bushel, etc.).
tlg0086.tlg035.perseus-eng2::53	Eligibility for public office	Right to participate in judicial functions	Eligibility for jury service	False	Eligibility for public office	The text describes constituting 'jury-courts from all the citizens' and describes the 'law-court' as all-powerful.
tlg0086.tlg035.perseus-eng2::54	Right to a legal trial	Right to independent legal action	Right to a trial	False	Right to a legal trial	Refers to the 'right of legal action' and sharing in 'legal procedure', though requiring a patron.
tlg0086.tlg035.perseus-eng2::56	Eligibility for public office	Right to participate in office	Eligibility for public office	False	Eligibility for public office	Refers to being 'discharged' from duties, implying attendance at assembly and law-courts.
tlg0086.tlg035.perseus-eng2::57	Right to inherit property	Right to inherit property directly	Inheriting property	False	Right to inherit property	The verbatim specifically identifies laws dealing with 'heiresses'.
tlg0086.tlg035.perseus-eng2::59	Right to citizenship	Right to citizenship	Right to citizenship	False	Right to citizenship	Text defines citizenship limits based on being the 'child of citizens on both sides'.
tlg0086.tlg035.perseus-eng2::62	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Covers manual laborers being 'admitted to office' generically.
tlg0086.tlg035.perseus-eng2::65	Eligibility for public office	Right to share office in the government	Eligibility for public office	False	Eligibility for public office	The verbatim discusses 'admission to office of various grades' based on assessments.
tlg0086.tlg035.perseus-eng2::66	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Refers generically to being 'admitted to office' after ten years out of trade.
tlg0086.tlg035.perseus-eng2::67	Eligibility for public office	Right to share office in the government	Right to citizenship	False	Right to citizenship	Describes the process where a state 'divests itself' of certain classes to limit citizenship to dual descent.
tlg0086.tlg035.perseus-eng2::68	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Refers to 'control of the government' and 'rulers' holding power through wealth.
tlg0086.tlg035.perseus-eng2::69	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Discusses poor people possessing 'control of the government' or when the 'poor rule'.
tlg0086.tlg035.perseus-eng2::70	Right to vote in the Ekklesia	Right to vote in the Ekklesia	Deliberative authority	False	Political power	Refers to classes laying 'claim to the government' based on 'freedom' and 'wealth'.
tlg0086.tlg035.perseus-eng2::71	Political power	Right to participate in government	Deliberative authority	False	Political power	Slave exclusion is based on having no 'share in well-being' or 'purposive life' within the state community.
tlg0086.tlg035.perseus-eng2::72	Right to retain property	Right to retain property	Owning and retaining property	False	Right to retain property	Discusses a 'share in the state' proportionate to 'share in the property' and 'profits'.
tlg0086.tlg035.perseus-eng2::73	Political power	Right to exercise deliberative and judicial functions	Deliberative authority	False	Political power	States that the mass of citizens should 'share the deliberative and judicial functions'.
tlg0086.tlg035.perseus-eng2::75	Political power	Right to audit magistrates	Exemption from legal audit	True	Exemption from legal audit	Verbatim explicitly mentions the 'function of calling them to audit'.
tlg0086.tlg035.perseus-eng2::76	Right to vote in the Ekklesia	Right to elect magistrates	Election of magistrates	False	Right to vote in the Ekklesia	Verbatim explicitly mentions appointing citizens to the 'election of the magistrates'.
tlg0086.tlg035.perseus-eng2::77	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Mentions 'treasury officials, generals and the holders of the highest magistracies' drawn from large property.
tlg0086.tlg035.perseus-eng2::78	Right to vote in the Ekklesia	Right to participate in the assembly	Voting in the assembly	False	Right to vote in the Ekklesia	Verbatim specifies 'take part in the assembly' alongside the council and juries.
tlg0086.tlg035.perseus-eng2::79	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	General reference to 'honor' and the state consisting of 'tax-payers' rather than a specific office.
tlg0086.tlg035.perseus-eng2::80	Right to own land	Right to own land	Owning land	False	Right to own land	Verbatim explicitly discusses the rich claiming rights because they have 'a larger share of the land'.
tlg0086.tlg035.perseus-eng2::81	Protection from arbitrary banishment	Protection from arbitrary banishment	Protection from arbitrary banishment	False	Protection from arbitrary banishment	Directly mentions 'ostracism' and to 'banish them out of the city for fixed periods'.
tlg0086.tlg035.perseus-eng2::83	Political power	Right to hold sovereign power	Deliberative authority	False	Political power	Refers to the 'sovereign classes' and the 'decision as to who ought to govern'.
tlg0086.tlg035.perseus-eng2::84	Right to bear arms	Right to serve as armed guards	Possession of arms	False	Right to bear arms	Verbatim describes 'citizens in arms' acting as a 'bodyguard'.
tlg0086.tlg035.perseus-eng2::85	Right to inherit property	Right to transmit power by descent	Eligibility for the kingship	False	Eligibility for public office	Specifically defines 'kingships' that are 'hereditary' in nature.
